line,pred,y,n_fields,population
C2.454.207.0,10.529272062591552,1.8426872,6,454
C2.454.63.0,9.943572670630944,1.9574596,7,454
C2.454.56.0,9.842385512905276,-2.6378975,7,454
C2.454.239.0,9.769163127576197,4.091388,7,454
C2.454.179.0,9.685436899655645,3.723574,7,454
C2.479.59.0,9.59732539752742,1.8643757,6,479
C2.484.80.0,9.511324238312246,17.886675,8,484
C2.484.71.0,9.484781558909571,3.2252133,8,484
C2.454.165.0,9.40131011061493,4.916088,7,454
C2.454.154.0,9.390051574426833,-1.5126065,6,454
C2.479.78.0,9.316608461985357,16.946342,6,479
C2.454.37.0,9.29543939004991,-1.5909731,6,454
C2.454.192.0,9.123127548431674,-4.776772,6,454
C2.454.228.0,9.121438437709726,-7.4892564,6,454
C2.454.51.0,9.088428460851997,7.1882024,7,454
C2.484.205.0,9.082510406777,-11.456886,8,484
C2.484.4.0,9.053391957450549,17.345263,8,484
C2.454.120.0,9.049208340610845,0.69251674,7,454
C2.454.34.0,8.97338560621079,5.613474,7,454
C2.484.177.0,8.939833738859166,-1.5114993,8,484
C2.454.237.0,8.90570516772661,-2.2864976,7,454
C2.454.211.0,8.89268202546038,-5.3905687,7,454
C2.484.44.0,8.876108742523416,17.0188,8,484
C2.484.156.0,8.840138311491089,22.688292,7,484
C2.484.94.0,8.806470949620742,5.3171506,8,484
C2.479.84.0,8.805621226043995,-4.153891,6,479
C2.484.161.0,8.804086384132322,12.8813505,8,484
C2.484.217.0,8.7845831511269,-13.624012,8,484
C2.454.127.0,8.754374456947332,3.1076453,7,454
C2.484.154.0,8.71841141383496,4.433938,8,484
C2.454.70.0,8.712273365893099,11.693031,7,454
C2.484.110.0,8.70144318807601,12.167826,8,484
C2.454.119.0,8.66540048191211,2.9739168,7,454
C2.479.22.0,8.65319872454018,9.252043,6,479
C2.484.31.0,8.639156450220593,9.535741,7,484
C2.484.143.0,8.600461358683908,5.171476,8,484
C2.454.99.0,8.58407592793575,0.07028819,7,454
C2.484.140.0,8.58299557594609,6.3917007,8,484
C2.484.112.0,8.521568674423987,-4.2787867,8,484
C2.484.163.0,8.500514801662934,4.343526,8,484
C2.454.230.0,8.485089354752178,9.335842,6,454
C2.454.82.0,8.482941018671184,2.3749719,6,454
C2.484.101.0,8.406191166767425,5.5805883,8,484
C2.454.225.0,8.369376906209988,0.45318818,7,454
C2.454.114.0,8.32791076309557,-10.133355,7,454
C2.454.157.0,8.31604703503437,14.295217,7,454
C2.484.56.0,8.313373954434663,3.5592008,8,484
C2.484.133.0,8.29611394645314,11.153189,8,484
C2.454.133.0,8.25938343713131,4.2342024,7,454
C2.484.165.0,8.233628214845123,18.009819,7,484
C2.484.117.0,8.22569854611402,-6.2117367,8,484
C2.484.215.0,8.207073855249137,2.5318758,8,484
C2.454.241.0,8.181151819180558,2.6489038,6,454
C2.454.218.0,8.16774001733924,-2.0281832,7,454
C2.454.138.0,8.1644127732019,6.504974,7,454
C2.484.60.0,8.161197410140963,17.946577,7,484
C2.484.34.0,8.131077918457617,3.1457384,8,484
C2.454.116.0,8.12132176690042,1.2323872,6,454
C2.454.33.0,8.088642959957674,2.107431,7,454
C2.454.57.0,8.081986861184275,2.2055738,7,454
C2.484.203.0,8.052780662288342,-11.019312,8,484
C2.484.120.0,8.051607321559038,1.2149882,8,484
C2.484.157.0,8.028735229865813,13.048288,8,484
C2.454.227.0,7.979714991701951,1.8310754,6,454
C2.484.68.0,7.979658697665152,9.343101,8,484
C2.484.207.0,7.972409253907776,4.230613,8,484
C2.484.52.0,7.9715196124187395,-14.988573,7,484
C2.454.140.0,7.9696628248097765,-2.6213403,7,454
C2.453.36.0,7.963429088878029,7.880073,6,453
C2.454.155.0,7.961751616992543,2.6674552,6,454
C2.484.136.0,7.948449308271683,-1.0986159,7,484
C2.454.195.0,7.946599777151451,6.337831,7,454
C2.454.200.0,7.927906244035623,-12.908998,7,454
C2.484.168.0,7.927450451807062,8.966801,8,484
C2.454.35.0,7.920586180654211,-2.2339118,7,454
C2.479.80.0,7.919732943927998,5.5235424,6,479
C2.484.194.0,7.916090325462188,-20.78945,8,484
C2.484.212.0,7.898871172489401,12.4921255,8,484
C2.484.208.0,7.8947005091759594,-21.797228,7,484
C2.484.193.0,7.8591012334110655,-11.713816,7,484
C2.484.74.0,7.849444362246768,22.327477,8,484
C2.454.77.0,7.839251083671089,4.523831,7,454
C2.484.153.0,7.822275685271833,9.6198635,8,484
C2.479.17.0,7.820833345213733,11.724075,6,479
C2.484.78.0,7.819845450517063,-3.5947874,7,484
C2.484.209.0,7.816154509324555,12.896613,8,484
