cluster,cutoff_year,model,pearson,spearman,gain_bu,pct_of_ideal,split
1,2007,mean,,,-0.030614131689071657,-0.3005017,"CV (leave-population-out, train<=2007)"
1,2007,parent,0.04135090758591318,0.0790587833293979,0.3424836993217468,1.9052864,"CV (leave-population-out, train<=2007)"
1,2007,ridge,0.18882593075246504,0.18985892123298864,3.5919604778289793,19.805487,"CV (leave-population-out, train<=2007)"
1,2007,mean,,,3.9561545848846436,22.749063,HELD-OUT 2008
1,2007,parent,0.06575970069527382,0.08748040991535082,-1.024265170097351,-5.8898287,HELD-OUT 2008
1,2007,ridge,0.1588205028952987,0.10964592371770494,1.389366865158081,7.9892726,HELD-OUT 2008
2,2007,mean,,,0.0587352991104126,0.4332943,"CV (leave-population-out, train<=2007)"
2,2007,parent,0.0735094270201732,0.07273389354709953,1.7095481634140015,9.811185,"CV (leave-population-out, train<=2007)"
2,2007,ridge,0.23072202925632937,0.21051065212670744,4.224531507492065,24.893084,"CV (leave-population-out, train<=2007)"
2,2007,mean,,,1.4686630964279175,8.324517,HELD-OUT 2008
2,2007,parent,0.10799121658240259,0.09489561496159185,-0.6130721569061279,-3.4749496,HELD-OUT 2008
2,2007,ridge,0.12115332694744613,0.11069325163349979,1.7442424297332764,9.886527,HELD-OUT 2008
