line,pred,y,n_fields,population
C1.427.16,11.346624835756913,13.292187,5,427
C1.427.36,11.30884720317056,-13.4916935,5,427
C1.401.42,11.277799448286874,1.1933131,6,401
C1.379.88,11.144589392090207,10.673341,5,379
C1.401.18,10.712565080718118,-4.59602,6,401
C1.427.85,10.567418968196197,-8.029054,5,427
C1.401.51,10.464705140526835,-10.736216,5,401
C1.401.81,10.398075740090484,6.2375464,6,401
C1.401.87,10.346554017601587,-0.32662022,6,401
C1.401.7,10.261165357204884,-4.514587,6,401
C1.401.27,10.136197397718913,11.174459,5,401
C1.427.11,10.103555696844452,4.5959063,5,427
C1.427.19,9.919946924398412,17.215246,5,427
C1.380.82,9.735386372544209,22.81773,5,380
C1.401.20,9.631131863072005,-5.92007,6,401
C1.380.137,9.57410337449393,-12.038742,4,380
C1.427.4,9.54298369229291,12.173447,5,427
C1.401.92,9.30987092597362,-11.275514,5,401
C1.380.154,9.269431975296714,18.74703,5,380
C1.401.94,9.251561682309305,-6.55422,6,401
C1.401.76,9.241886799566243,9.750564,5,401
C1.401.36,9.19673874212543,11.59918,6,401
C1.427.34,9.108211931892365,7.1017065,5,427
C1.401.32,9.104950623586037,-19.686554,6,401
C1.401.41,9.081295885690405,-10.22858,5,401
C1.401.56,8.96559535085352,-9.255103,6,401
C1.401.74,8.918068344562146,3.7910297,6,401
C1.401.77,8.88823534228855,-24.26442,6,401
C1.380.41,8.842003670819883,0.50137067,5,380
C1.380.22,8.819772677234514,11.918308,4,380
C1.401.86,8.80135773593035,-1.6368536,6,401
C1.401.19,8.792564709746292,-2.319237,6,401
C1.380.57,8.718799329556637,-15.468912,4,380
C1.380.67,8.635963704102528,-1.2819871,4,380
C1.380.36,8.633804274619678,-3.2689292,5,380
C1.401.75,8.59931994641353,10.013306,5,401
C1.428.152,8.583255083596685,9.354998,6,428
C1.380.5,8.550205298709516,-16.267889,5,380
C1.401.33,8.525269616790988,-2.6995869,6,401
C1.401.30,8.499355758093245,6.5723963,6,401
C1.380.11,8.484143319872246,13.942538,4,380
C1.401.15,8.406845615283384,-1.577236,5,401
C1.380.106,8.38393900399704,-5.375409,5,380
C1.401.1,8.378161755238697,-4.276137,6,401
C1.401.89,8.37109937149606,6.435113,6,401
C1.384.112,8.329074796530886,8.287371,2,384
C1.401.21,8.308228681436495,-0.7591369,6,401
C1.380.150,8.294428069238577,9.645571,5,380
C1.428.143,8.29144089040027,-5.0479693,6,428
C1.380.170,8.269329482256678,15.69721,5,380
C1.380.160,8.253475427176898,7.8712907,5,380
C1.428.95,8.25163630105118,11.81803,6,428
C1.384.135,8.24165268260252,18.68692,2,384
C1.427.12,8.221871531695248,-6.5142937,5,427
C1.401.34,8.212685210235723,-21.171593,5,401
C1.401.59,8.1557623120467,8.854084,5,401
C1.384.109,8.15571900889428,4.96397,2,384
C1.401.88,8.154926539061854,-8.994716,5,401
C1.401.54,8.154155779916382,-9.081487,6,401
C1.401.68,8.142472456699752,5.136863,6,401
C1.428.146,8.110990967151803,-0.45628604,6,428
C1.384.23,8.024065322917734,11.087871,2,384
C1.384.159,8.005242348090466,-1.1776797,2,384
C1.401.38,8.004940916588918,-13.305254,6,401
C1.428.194,7.992443169081354,5.830914,6,428
C1.401.4,7.987351960475162,-7.26692,6,401
C1.401.5,7.987351960475162,-20.094337,6,401
C1.380.26,7.958298644880828,-11.816549,5,380
C1.401.55,7.947627435204239,-29.633835,5,401
C1.380.86,7.896305057824846,23.202507,4,380
C1.380.198,7.88494054078163,-0.8486693,5,380
C1.380.112,7.879175648208299,11.807831,5,380
C1.427.23,7.867411388045657,12.902866,5,427
C1.384.147,7.850884562666691,12.821671,2,384
C1.427.6,7.837271409504127,-5.5128136,5,427
C1.401.91,7.832473742077581,-15.108937,6,401
C1.384.131,7.817078316312802,15.96677,2,384
C1.380.132,7.815014674672934,18.115711,5,380
C1.380.99,7.7967273252365015,5.6083508,5,380
C1.401.69,7.779782151596748,-8.27917,6,401
C1.384.47,7.754929830591335,-4.2507796,2,384
C1.401.79,7.7534809667079285,-7.179872,5,401
C1.428.110,7.749286040518202,10.299364,6,428
C1.428.140,7.748750577663237,11.043164,6,428
C1.401.58,7.737657926225054,-16.64802,6,401
C1.391.52,7.7372931722260745,-21.717253,4,391
C1.379.26,7.732576192316602,-3.0171587,5,379
C1.401.40,7.71487345916465,-5.376237,6,401
C1.379.53,7.687860312656915,-5.2514863,6,379
C1.381.16,7.6756635660043475,10.7895,5,381
C1.384.114,7.662463789325207,-2.5977297,2,384
C1.384.19,7.64252261043513,6.6504703,2,384
C1.380.163,7.637924383029666,-0.3187635,4,380
C1.380.176,7.636658153103289,15.65015,5,380
C1.401.85,7.631793460249824,-2.4342868,6,401
C1.401.64,7.6311585870293035,4.3840466,6,401
C1.380.83,7.6270459961493495,2.0795307,5,380
