LINE_UNIQUE_ID,CLUSTER_ID,POP_NUM,GCA_pred,GCA_obs,n_env,rank,advance
C1.428.204,1,428,254.27514013714006,252.9552001953125,6,68,False
C1.381.105,1,381,254.15420572906,252.49044799804688,5,69,False
C1.253.134,1,253,253.92626274130996,246.48426818847656,7,70,False
C1.396.97,1,396,253.90345725883643,238.5369873046875,4,71,False
C1.253.102,1,253,253.7775536072436,240.66172790527344,7,72,False
C1.253.67,1,253,253.75491774725222,236.06642150878906,7,73,False
C1.381.156,1,381,253.6659927561403,248.1225128173828,5,74,False
C1.428.192,1,428,253.66479722506483,246.7047882080078,6,75,False
C1.253.106,1,253,253.66196642910745,248.5023956298828,7,76,False
C1.253.2,1,253,253.61782587638075,237.12403869628906,7,77,False
C1.428.118,1,428,253.53377397883523,233.9034423828125,6,78,False
C1.383.122,1,383,253.48299999089582,230.4529266357422,6,79,False
C1.253.77,1,253,253.45722840301823,251.47705078125,7,80,False
C1.253.173,1,253,253.43232247514837,231.05897521972656,7,81,False
C1.418.31,1,418,253.41909456533767,233.7948455810547,5,82,False
C1.253.110,1,253,253.4058531038259,240.77529907226562,7,83,False
C1.381.24,1,381,253.3631403876272,250.91397094726562,5,84,False
C1.381.63,1,381,253.3534446874698,239.3541259765625,5,85,False
C1.471.137,1,471,253.27898511028047,226.419189453125,7,86,False
C1.238.53,1,238,253.2215815484525,232.06829833984375,9,87,False
C1.418.30,1,418,253.16972643347336,245.16970825195312,5,88,False
C1.382.75,1,382,253.04566613746084,209.34588623046875,4,89,False
C1.278.161,1,278,253.03080294230813,219.15687561035156,8,90,False
C1.5.103,1,5,252.9706850234451,205.5986785888672,6,91,False
C1.381.90,1,381,252.92974769579368,235.61569213867188,5,92,False
C1.264.165,1,264,252.89963177008468,212.23861694335938,8,93,False
C1.418.34,1,418,252.8843357766108,236.783203125,4,94,False
C1.235.145,1,235,252.74684509004666,235.15467834472656,9,95,False
C1.253.68,1,253,252.70266372146483,240.9063262939453,7,96,False
C1.264.56,1,264,252.6847450488013,226.5531005859375,8,97,False
C1.247.193,1,247,252.6332152162115,227.0049285888672,6,98,False
C1.418.7,1,418,252.56150915460222,215.18359375,4,99,False
C1.428.184,1,428,252.51395815188104,261.9147033691406,6,100,False
C1.396.194,1,396,252.41268254198548,215.0302734375,4,101,False
C1.428.229,1,428,252.3940911314228,264.8879089355469,6,102,False
C1.381.108,1,381,252.34103526955766,265.3308410644531,4,103,False
