line,pred,y,n_fields,population
C2.388.67.0,9.935075581497022,0.43422532,5,388
C2.424.142.0,9.371485329824486,15.561974,5,424
C2.440.115.0,8.987916728254838,9.459464,5,440
C2.440.102.0,8.98037380999714,8.218965,5,440
C2.417.66.0,8.878066037194479,27.36746,5,417
C2.417.78.0,8.834175550422541,15.0931,5,417
C2.417.88.0,8.821149612006362,28.06649,3,417
C2.388.65.0,8.78671217301965,17.798668,4,388
C2.440.123.0,8.604007453558948,1.7481844,5,440
C2.417.62.0,8.601216615105365,12.156011,4,417
C2.417.127.0,8.562123811108794,12.304668,4,417
C2.417.119.0,8.545975139728572,7.5478797,5,417
C2.366.11.0,8.511015691075308,-0.7319945,4,366
C2.440.34.0,8.45691642144352,14.073864,5,440
C2.388.51.0,8.452347532075539,-11.29357,6,388
C2.417.64.0,8.446610386921892,10.577585,4,417
C2.417.54.0,8.440148704427132,23.34376,5,417
C2.424.135.0,8.43149677520762,3.1730032,5,424
C2.417.86.0,8.351897489900049,17.690239,5,417
C2.440.127.0,8.288182065829947,8.956545,5,440
C2.417.52.0,8.259417818554375,13.637759,5,417
C2.417.57.0,8.233256201164117,24.995958,4,417
C2.417.175.0,8.226144173969198,-0.63234055,5,417
C2.440.109.0,8.191314816876373,-2.8482575,4,440
C2.417.53.0,8.187660593835197,2.0208855,4,417
C2.440.31.0,8.144674331945918,1.5823088,4,440
C2.417.65.0,8.084600044197865,4.8208103,4,417
C2.417.181.0,8.045229436041238,7.3590994,5,417
C2.417.185.0,8.006996531659558,12.17986,4,417
C2.417.158.0,8.002085649921554,4.1037993,5,417
C2.426.17.0,7.9726701236533755,9.041062,6,426
C2.417.19.0,7.963037800264002,6.1369395,5,417
C2.388.66.0,7.927574635835625,9.275464,6,388
C2.417.48.0,7.915866572654875,10.091539,5,417
C2.424.121.0,7.885424181353194,4.937169,4,424
C2.417.8.0,7.881750947604488,18.1183,5,417
C2.440.119.0,7.8514261591127,17.368824,5,440
C2.429.104.0,7.832420228211032,19.502848,5,429
C2.417.49.0,7.828006043286463,6.1871185,4,417
C2.417.91.0,7.808042189288388,24.555485,4,417
C2.417.130.0,7.766959010091296,5.793994,4,417
C2.440.64.0,7.755011057473775,10.476705,5,440
C2.417.147.0,7.751623517246698,-2.0634606,5,417
C2.440.32.0,7.750683715728261,-4.1920958,5,440
C2.417.69.0,7.749901440464257,8.4921,5,417
C2.417.162.0,7.747215604992992,20.063879,5,417
C2.417.7.0,7.746655089945553,3.2627354,4,417
C2.417.140.0,7.745559068025333,9.00318,5,417
C2.417.1.0,7.741927604085602,12.4544115,3,417
C2.417.191.0,7.719061510578677,23.50522,5,417
C2.417.26.0,7.7166034548146705,22.185959,5,417
C2.440.98.0,7.681842447161164,18.930285,5,440
C2.417.198.0,7.678508591273689,22.079048,4,417
C2.417.136.0,7.672661276363366,4.4823356,4,417
C2.417.21.0,7.667739513797145,19.94106,5,417
C2.429.83.0,7.664170673646529,10.352068,5,429
C2.417.163.0,7.662773186539785,24.11966,5,417
C2.417.80.0,7.65346941793136,22.278008,4,417
C2.426.3.0,7.648215502512233,14.379496,6,426
C2.424.149.0,7.6481084197479685,9.858394,5,424
C2.444.102.0,7.6430174980212735,-5.9889264,5,444
C2.417.58.0,7.58037050782493,2.3833437,4,417
C2.417.55.0,7.5543306643194565,12.48714,5,417
C2.366.221.0,7.547052415066691,-0.36659452,4,366
C2.439.101.0,7.516709954259755,-9.278233,6,439
C2.417.16.0,7.512276158663879,18.550419,4,417
C2.424.126.0,7.478682353198207,-0.05989927,4,424
C2.417.84.0,7.467758303760048,28.588736,4,417
C2.417.42.0,7.465821988189739,5.0382595,5,417
C2.440.154.0,7.461376811773704,23.424545,5,440
C2.417.104.0,7.450500214845531,7.1486354,4,417
C2.424.21.0,7.441070920599843,2.3155274,6,424
C2.417.63.0,7.407754043105505,3.0342188,4,417
C2.426.37.0,7.4060249367239255,17.306305,5,426
C2.426.143.0,7.405984491135657,3.7397878,5,426
C2.417.128.0,7.3958551661663305,9.44432,5,417
C2.375.34.0,7.395287296047087,-10.335924,6,375
C2.440.89.0,7.393362932478037,8.952604,5,440
C2.439.83.0,7.389591521427276,-29.107336,5,439
C2.375.161.0,7.3846049795645765,-9.626508,6,375
C2.417.18.0,7.367086018023443,15.354639,5,417
C2.417.10.0,7.347784353763147,10.20138,5,417
C2.413.41.0,7.337818450020211,-0.9583115,4,413
C2.417.196.0,7.336172505916165,5.3376193,5,417
C2.386.16.0,7.329283411626777,9.219359,4,386
C2.444.63.0,7.322863127562149,-25.993046,5,444
C2.388.47.0,7.309277066542416,-1.0885142,5,388
C2.417.108.0,7.308203592133496,2.6257937,4,417
C2.375.51.0,7.3023611056128885,-16.567942,6,375
C2.417.82.0,7.293516589357732,26.77208,5,417
C2.417.202.0,7.267001435972725,12.253744,4,417
C2.440.65.0,7.246806126484832,8.841584,5,440
C2.417.201.0,7.2373874404685665,13.18951,4,417
C2.440.83.0,7.230040334161313,8.595617,4,440
C2.417.6.0,7.209233276467227,11.932444,4,417
C2.426.147.0,7.172888907598365,-12.704812,5,426
C2.417.79.0,7.1726091277641455,-8.078144,3,417
C2.375.120.0,7.172118572586509,3.1410158,5,375
C2.419.113.0,7.138762812174655,-11.048773,6,419
C2.417.11.0,7.138714647644596,24.230185,4,417
C2.440.76.0,7.0538107313975855,3.1441677,4,440
C2.426.142.0,7.052758360468162,12.210146,6,426
C2.417.4.0,7.046323942140054,7.1927686,4,417
C2.417.38.0,7.035031961910553,19.79284,5,417
C2.375.87.0,7.025128917016125,6.780859,6,375
C2.375.6.0,7.021244382805759,-21.340445,5,375
C2.414.7.0,6.982672726699975,0.5147074,5,414
C2.388.61.0,6.98185011517016,13.989831,6,388
C2.426.94.0,6.966799562826472,0.4694792,6,426
C2.417.59.0,6.9642425896175135,3.9676595,5,417
C2.419.129.0,6.961701518126927,15.800344,4,419
C2.429.59.0,6.957110844622235,11.911268,5,429
C2.440.88.0,6.953603143360182,12.945265,5,440
C2.440.113.0,6.9348634654113,1.5612444,5,440
C2.368.108.0,6.933687868591503,-2.4148843,5,368
C2.375.147.0,6.9307594658670455,-3.8197076,6,375
C2.417.139.0,6.930388245382861,14.237644,4,417
C2.440.90.0,6.925953844730775,7.7087245,5,440
C2.424.75.0,6.923519473106518,-9.048666,5,424
C2.366.78.0,6.9219308524891945,-8.663516,5,366
C2.368.124.0,6.901931180519397,4.380087,4,368
C2.426.53.0,6.889840282301608,3.4095793,6,426
C2.417.172.0,6.882455549804999,16.16876,5,417
C2.388.1.0,6.8632127722574845,1.4723806,6,388
C2.400.6.0,6.855456549232875,-2.5220687,6,400
C2.440.78.0,6.848025020219063,2.8945444,5,440
C2.414.31.0,6.845217964410542,1.3553023,4,414
C2.429.14.0,6.845085912341764,5.7789083,5,429
